Status	GROUP	ch_num	NAME
KEEP	NEWS	141.0	Al Jazeera
KEEP	NEWS	142.0	Al Araby
KEEP	NEWS	161.0	Al Arabiya
KEEP	NEWS	111.0	SkyNews Arabia
KEEP	NEWS	112.0	Al Sharq
KEEP	NEWS	191.0	TRT
			
KEEP	LEVANT	201.0	PSC
KEEP	LEVANT	211.0	Jadeed
KEEP	LEVANT	212.0	LBC
KEEP	LEVANT	213.0	MTV
KEEP	LEVANT	214.0	OTV
KEEP	LEVANT	215.0	Voice of Lebanon
KEEP	LEVANT	221.0	Amman
KEEP	LEVANT	222.0	Jordan
SKIP	LEVANT	223.0	Mamlaka
KEEP	LEVANT	224.0	Roya
KEEP	LEVANT	231.0	Lana
KEEP	LEVANT	232.0	Syria
KEEP	LEVANT	233.0	Syria 2
KEEP	LEVANT	261.0	Makan
			
KEEP	GULF	361.0	MBC 1
SKIP	GULF	362.0	MBC 2
KEEP	GULF	364.0	MBC 4
KEEP	GULF	365.0	MBC 5
KEEP	GULF	366.0	SBC
KEEP	GULF	367.0	Thaqafeyah
KEEP	GULF	341.0	AlAraby 2
KEEP	GULF	311.0	Abu Dhabi
KEEP	GULF	312.0	Dubai
SKIP	GULF	313.0	Dubai One
KEEP	GULF	314.0	Mashhad
			
KEEP	EGYPT	401.0	CBC
KEEP	EGYPT	402.0	DMC
KEEP	EGYPT	403.0	Hayat
KEEP	EGYPT	404.0	Mehwar
KEEP	EGYPT	405.0	Nahar
SKIP	EGYPT	406.0	ON E
KEEP	EGYPT	407.0	Sada
KEEP	EGYPT	461.0	MBC Masr
KEEP	EGYPT	462.0	MBC Masr 2
			
SKIP	DRAMA	501.0	CBC Drama
SKIP	DRAMA	502.0	DMC Drama
SKIP	DRAMA	506.0	ON Drama
KEEP	DRAMA	521.0	Roya Drama
KEEP	DRAMA	561.0	MBC Drama
KEEP	DRAMA	562.0	MBC Drama Egypt
			
KEEP	MOVIES	661.0	Aflam
KEEP	MOVIES	662.0	Rotana Aflam
SKIP	MOVIES	663.0	Rotana Cinema
			
KEEP	MUSIC	711.0	Aghani
SKIP	MUSIC	712.0	Arabica
SKIP	MUSIC	721.0	Nogoum
KEEP	MUSIC	713.0	MTV One
KEEP	MUSIC	761.0	M+
KEEP	MUSIC	762.0	Panorama FM
SKIP	MUSIC	763.0	Rotana Clip
			
KEEP	ENG	801.0	Test Kitchen
KEEP	ENG	802.0	Cooks Country
KEEP	ENG	921.0	WUSA9
KEEP	ENG	931.0	CBSN
KEEP	ENG	932.0	Bloomberg
KEEP	ENG	933.0	CNN
KEEP	ENG	934.0	NBC Now
KEEP	ENG	941.0	Al Jazeera EN
